id,text,label
1,всем холодный душ из водомётов и не одного европидо ста не останеться ,1.0
2,я поляк я люблю тебе ,0.0
3,автор хуй из рта вытащи беркут герои ,1.0
4,позор януковичу не замочил майданщиков продажная скотина ,1.0
5,легче всего обвинять россию ,0.0
6,росия говно україна країна героїв ,1.0
7,эх с танком бы куда круче смотрелось ,0.0
8,як так можна брат на брата ,0.0
9, владимир владимирович кто бы говорил ,0.0
10,сука она продажная сколько ей платят за этот бред тварь как её ещё слушают люди и терпят это ,1.0
11,что же ты не спишь сша там где ты всегда война ,0.0
12,ну что ребята прислушаемся к словам янушеску вставай украина ,1.0
13,мы же один народ вы друг друга ненавидите так нельзя ,0.0
14,роман сыроватко страна стремительно деградирует из за таких тупых уродов как ты ,1.0
15, сеера макс я живу в восточной украине уж здесь самая задница ,1.0
16, я українець а мне пофиг мне коврик нужен реальность как раз именно логике он и поддается если бы люди руководствовались просто логикой такие тупые ситуации были бы невозможны зачем кому то или чему то служить вообще люди рождаются не для того чтобы служить разве беркутовцы служат развен это не работа они не могут просто уволиться военные понятно они присягали какому то абстрактному государству формально они связаны обязательствами ,1.0
17,на видео анти террористический отряд сбу а не беркут допрыгались теперь валить будут ,0.0
18,правильно делают что мнут бока быдлоте которая вышла за гривень на площадь жалко не применили водомёты ,1.0
19,угу между псковом и новгородом тоже не может быть никаких союзов а еще между мурманском и владивостоком между киевом и москвой между питером и челябинском ,0.0
20,жаль что так получилось ,0.0
21,обычно люди пытаются вытереть лицо а эти специально такие ходят чтобы больше эффекта были получили звизды ,1.0
22,до сашо завжди була і є велика повага ,0.0
23,героям слава ,0.0
24,а я думаю хакамада очень умная женщина а крашенинникова российская шовинистка если украинец любит свою родину он националист россиянин любит свою родину он патриот ребятки как это понимать ,0.0
25,ахаха так и надо мразям либерастам беркуту зачет ,1.0
26,вместо того что бы работать ходят машут флагами и катаются на мопедах работать надо на благо своего будующего ,0.0
27,с такими людьми рядом не страшно было умирать спасибо майдану ,0.0
28,ещё один зомбированный москалёныш бедааа ,0.0
29,вже є вулиці досі повні ,0.0
30,кто то бабла рубит на этом мероприятии сейчас неплохое хули желеть беркут или нет они наемники им платят за это народ реально жалко что достались такие ушлепки у власти хз что будет дальше но дальше уже не будет как раньше ,1.0
31, дмитрий киевлянин когда коммандировочные беркуту от яныка около штуки баксов в день сложно им думать о совести ,0.0
32,соловьёв красавчик всегда мне нравился короткими вставками ,0.0
33,я бы открыл стрельбу по талпе ведь они угражают жизни своими булыжниками и цепями в пендосси уже бы растреляли ,1.0
34,читаю комментарии и становится понятно что все кому лень думать вникать во внутреннюю и внешнюю политику россии те за хакамаду именно такие слепо идут на болотную майданы и прочие путчи т к зачем думать нам же сказали за свободу за справедливость крашенинникова уже для таких как вы все разжевала все по полочкам разложила хотя о чем это я это же все равно надо мозг включить и подумать а хакамада так задорно орет что грех ей не поверить ,0.0
35,молодцы украинцы приятно видеть то как они боролись за свои права и свободы и били поганых мусоров слава украине ,1.0
36,клоуны блядь ,1.0
37, арина корина обоснуйте своё обвинение с чего вы взяли что я фашист я ведь могу тоже написать что вы трассовая шлюха но если я не обосную то это только голословное обвинение и так с чего вы обвинили меня в фашизме ,1.0
38,слава украине ,0.0
39,молодці так їм ,0.0
40,эй комментаторы в армии хотя бы в стройбате кто нить служил так не работают снайпера с прикрытием да ещё этот бендеркомментатор в нескольких метрах от злодеев это продолжение сериала предыдущие серии голый хрен с пейсом на макушке потом отрезанные уши и т д ,0.0
41, мариша клишечто значит сергать люди требуют выборов а не казни это перезагрузка а не свержение если так рассуждать как вы то изменения всегда будут не к месту всегда чего то или кого то не хватает а украина в любом случае не будет без власти ведь есть парламент кабмин местные органы власти ,0.0
42,читай аннотацию ,0.0
43,я вот не могу понять если я ненавижу януковича вместе с его комуноуголовную семейку и хочу его сместить значит я фашист значит люди которые грабят страну последние года это молодцы классные ребята а те кто хотят его сместить фашисты почему я не имею право в собственной стране развиваться люди которые вышли на майдан хотят только одного иметь право на самозащиту и на саморазвитие мусорские чиновники при януковиче так охамели что могут любого закрыть в часа и надолго милиция в государстве отсутствует медицина отсутствует судов нет и это по мнению россиян хорошо а попытка изменить свою жизнь к лучшему фашизм че за бред нас достала эта комунофашистская мразь которая паразитирует на людях мы просто хотим жить свободно и быть увереными в завтрашнем дне что в этом плохого ,1.0
44,так вот в чем дело хохлы просто решили снять супер крутой фильм со спецэффектами как у спилберга и экшном как у снайдера обязательно пойду в кинотеатр ,0.0
45,смерть виродкам мусорським до коліна ,1.0
46,гори в аду крым донбасс украина оккупантам жестокая смерть путлер капут ,1.0
47,возникает вопрос почему снайпер только один и где пулеметчики почему их не видно ,0.0
48,так ты двуличный мудак живешь в европе а в украине хочешь видеть зону под паханатом янукевича я не от тебя бабло получаю не волнуйся сибирь пишется через и грн получает титушка баксов беркут баксов тихарь мент ну а снайпер конечно больше и не пори гарячку про снег я тебя умоляю это бред ,1.0
49, александр пяткин бандеровцев бить можно и нужно ,1.0
50,идейные дураки ,1.0
51,ирина молодец интересная женщина ,0.0
52,слава украине ,0.0
53,передачка во главе пидора сасет у путлера и доволен ,1.0
54,эти выродки не только о присяге забыли но уже в них ничего человеческого не осталось продались режиму и дьяволу так теперь пусть не удивляются что народ им не только не доверяет но презирает и ненавидит жаль что название беркут как слово нарицательное звучит им больше название из падальщиков подойдет стервятники ,1.0
55,это не революция а продажные америкосные шестерки ,1.0
56, эрик хотя ничего скоро мы все равно мы узнаем всю правду стоит нам только в очередной раз подружиться с американцами они выведут из црушных комнат все это из под грифа и представят на всеобщее внимание и осуждение правда пройдет не мало лет многие даже забудут эту катастрофу ,0.0
57,саша україна з тобою завжди ,0.0
58,скажешь это им когда в тебя стрелять начнут ,0.0
59,зажигательными по етим зверям гасить надо ебаные продажные суки стоят там за гр ,1.0
60, украина свободная страна вы хотите сказать что на том видео из одессы одни агенты фсб ,0.0
61,параноидальная мания преследования это про этого гаврика и хрень про все видео в целом ,1.0
62,это бред милиция раздевает и расстреливает провокаторы придумайте что то менее маразматичное ,0.0
63,по видимому беркут заслан с россии ,0.0
64,украину как она есть хочет только тс а ес хочет чтоб мы у себя для начала как минимум порядки понаводили от страны где все держится на откатах и коррупции никому кроме россии пользы нет ,0.0
65,так их всех совсем охренели хохлы тока отстреливать и надо ,0.0
66, анна левицька анна если вы в своем уме то скорее вы платный тролль можно как угодно относиться к крашенинниковой но её доводы просто железные а хака просто жжет и делает эмоциональные выпады ,0.0
67,ваня рус сволочь молись мразь гореть тебе в аду тварь москальская я плюю на тебя и на могилы твоих предков и на твою могилу буду плевать ,1.0
68,они только скакать жрать срать спать могут и им этого вполне хватает для счастья ,1.0
